,weekid,ngo_abductions,ngo_events,media_abductions,media_events,zero,abductions_delta,events_delta,log_abductions_delta
208,209,0,0,0,0,0,0,0,0.0
209,210,0,0,400,1,0,-400,-1,-2.603144372620182
210,211,480,2,1007,2,0,-527,0,-0.32131545573567477
211,212,0,0,0,0,0,0,0,0.0
212,213,0,0,0,0,0,0,0,0.0
213,214,0,0,0,0,0,0,0,0.0
214,215,11186,6,135,3,0,11051,3,1.9151747297107522
215,216,459,3,0,0,0,459,3,2.662757831681574
216,217,402,2,111,3,0,291,-1,0.5560870234709281
217,218,12,1,175,3,0,-163,-2,-1.1315693155073132
218,219,421,2,34,3,0,387,-1,1.0812444066113982
219,220,1568,4,539,6,0,1029,-2,0.46322918376396816
220,221,677,5,172,7,0,505,-2,0.5931835907382679
221,222,35,3,1811,3,0,-1776,0,-1.701855692573507
222,223,0,0,17,2,0,-17,-2,-1.255272505103306
223,224,0,0,4,1,0,-4,-1,-0.6989700043360189
224,225,0,0,65,3,0,-65,-3,-1.8195439355418688
225,226,82,3,283,3,0,-201,0,-0.5342402476709636
226,227,0,0,11,2,0,-11,-2,-1.0791812460476249
227,228,111,2,0,0,0,111,2,2.0492180226701815
228,229,420,2,11,1,0,409,1,1.5451008497880434
229,230,130,2,5,1,0,125,1,1.3391200452721208
230,231,21,1,15,3,0,6,-2,0.13830269816628138
231,232,0,0,19,2,0,-19,-2,-1.3010299956639813
232,233,0,0,5,1,0,-5,-1,-0.7781512503836436
233,234,1030,4,40,1,0,990,3,1.4004748085637813
234,235,500,1,150,1,0,350,0,0.5208607785740766
235,236,0,0,18,3,0,-18,-3,-1.2787536009528289
236,237,13,1,0,0,0,13,1,1.146128035678238
237,238,0,0,0,0,0,0,0,0.0
238,239,0,0,37,2,0,-37,-2,-1.5797835966168101
239,240,0,0,0,0,0,0,0,0.0
240,241,0,0,0,0,0,0,0,0.0
241,242,0,0,0,0,0,0,0,0.0
242,243,0,0,0,0,0,0,0,0.0
243,244,30,1,0,0,0,30,1,1.4913616938342726
244,245,150,1,0,0,0,150,1,2.1789769472931693
245,246,0,0,12,1,0,-12,-1,-1.1139433523068367
246,247,379,4,0,0,0,379,4,2.57978359661681
247,248,1497,4,12,2,0,1485,2,2.061568461056611
248,249,0,0,20,2,0,-20,-2,-1.3222192947339193
249,250,0,0,10,1,0,-10,-1,-1.0413926851582251
250,251,0,0,0,0,0,0,0,0.0
251,252,0,0,10,1,0,-10,-1,-1.0413926851582251
252,253,0,0,30,1,0,-30,-1,-1.4913616938342726
253,254,0,0,16,2,0,-16,-2,-1.2304489213782739
254,255,0,0,12,2,0,-12,-2,-1.1139433523068367
255,256,0,0,0,0,0,0,0,0.0
256,257,7,1,50,1,0,-43,0,-0.8044801891059927
257,258,883,4,667,8,0,216,-4,0.1216758025375273
258,259,0,0,11,1,0,-11,-1,-1.0791812460476249
259,260,0,0,0,0,0,0,0,0.0
260,261,0,0,0,0,0,0,0,0.0
261,262,0,0,13,1,0,-13,-1,-1.146128035678238
262,263,100,1,0,0,0,100,1,2.0043213737826426
