,movement,date,latitude,longitude
1949,1,2009-01-18,13.44126639,22.44540397
1991,1,2009-01-25,12.05557298,24.8905828
2055,1,2009-01-31,14.136774,25.603915
2056,1,2009-01-31,14.20647108,24.64987718
2066,1,2009-02-02,11.276544,25.144175
2078,1,2009-02-02,12.05557298,24.8905828
2102,1,2009-02-05,13.05973309,25.18943463
2112,1,2009-02-05,13.7168701,22.4668748
2116,1,2009-02-06,14.36374906,22.45968906
2121,1,2009-02-07,13.05973309,25.18943463
2194,1,2009-02-13,13.51573406,24.86525491
2209,1,2009-02-15,12.05557298,24.8905828
2240,1,2009-02-17,13.6331233,22.5
2244,1,2009-02-17,12.9527502,24.2678347
2268,1,2009-02-18,12.67222184,24.9772578
2281,1,2009-02-19,14.36374906,22.45968906
2345,1,2009-02-27,14.6823367,24.8495883
2357,1,2009-02-28,12.74975,22.5169667
2378,1,2009-03-02,13.56805965,23.33648358
2379,1,2009-03-02,13.44126639,22.44540397
2436,1,2009-03-05,12.916,24.87119
2621,1,2009-03-21,13.6331233,22.5
2633,1,2009-03-21,12.5408333,23.2683833
2645,1,2009-03-22,13.66513047,25.34689136
2729,1,2009-03-29,13.7668541,22.1669062
2777,1,2009-04-04,12.05557298,24.8905828
